Name,Category,Integration,Description,Url,Selectable with
account_id,ad-insights-account,facebook-ads,Ad account ID for the account this ad creative belongs to.,https://developers.facebook.com/docs/reference/ads-api/adcreative#account_id,
account_name,ad-insights-account,facebook-ads,"The name of your ad account, which groups your advertising activity. Your ad account includes your campaigns, ads and billing.",https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#account_name,
ad_id,ad-insights-account,facebook-ads,"The unique ID of the ad you're viewing in reporting.
Default",https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#ad_id,
ad_name,ad-insights-account,facebook-ads,The name of the ad you're viewing in reporting.,https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#ad_name,
adset_id,ad-insights-account,facebook-ads,"The unique ID of the ad set you're viewing in reporting. An ad set is a group of ads that share the same budget, schedule, delivery optimization and targeting.
Default",https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#adset_id,
adset_name,ad-insights-account,facebook-ads,"The name of the ad set you're viewing in reporting. An ad set is a group of ads that share the same budget, schedule, delivery optimization and targeting.",https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#adset_name,
campaign_id,ad-insights-account,facebook-ads,"The unique ID number of the ad campaign you're viewing in reporting. Your campaign contains ad sets and ads.
Default",https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#campaign_id,
campaign_name,ad-insights-account,facebook-ads,The name of the ad campaign you're viewing in reporting. Your campaign contains ad sets and ads.,https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#campaign_name,
date_start,ad-insights-account,facebook-ads,"The start date for your data. This is controlled by the date range you've selected for your reporting view.
Default",https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#date_start,
date_stop,ad-insights-account,facebook-ads,"The end date for your data. This is controlled by the date range you've selected for your reporting view.
Default",https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#date_stop,
created_time,ad-insights-account,facebook-ads,Created time,https://developers.facebook.com/docs/marketing-api/reference/ad-label#created_time,
updated_time,ad-insights-account,facebook-ads,Updated time,https://developers.facebook.com/docs/marketing-api/reference/ad-label#updated_time,
buying_type,ad-insights-account,facebook-ads,"The method by which you pay for and target ads in your campaigns: through dynamic auction bidding, fixed-price bidding, or reach and frequency buying. This field is currently only visible at the campaign level.",https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#buying_type,
objective,ad-insights-account,facebook-ads,The objective reflecting the goal you want to achieve with your advertising. It may be different from the selected objective of the campaign in some cases.,https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#objective,
dailyBudget,ad-insights-account,facebook-ads,,,
budget,ad-insights-account,facebook-ads,,,
